id;time_stamp;action;user;description
1;2020-11-02T14:30:38;UPDATE;Fantastic Metal Sausages seamless;Technician
2;2020-11-02T11:08:38;UPDATE;Refined Steel Soap Granite Checking Account;Expanded AI
3;2020-11-02T16:05:48;CREATE;Configurable Oregon;approach compressing Buckinghamshire
4;2020-11-02T12:08:42;CREATE;Money Market Account intuitive;Distributed
5;2020-11-02T11:42:57;CREATE;Chicken Electronics;orchid bypassing ivory
6;2020-11-02T12:10:43;CREATE;Steel;Intelligent Metal Cheese Jewelery Avon
7;2020-11-02T06:49:35;UPDATE;District gold Netherlands Antillian Guilder;hard drive indigo
8;2020-11-02T16:14:22;CREATE;Nebraska Mouse Georgia;connecting
9;2020-11-02T12:48:00;CREATE;initiatives orchid;application
10;2020-11-02T11:43:38;DELETE;RSS Cotton;Jewelery
