id;type;message;time_stamp;status
1;EMAIL;Jewelery;2020-11-02T06:26:36;UNSEEN
2;EMAIL;next-generation viral Tasty Wooden Towels;2020-11-02T08:55:43;UNSEEN
3;EMAIL;partnerships Forges Specialist;2020-11-02T00:52:44;SEEN
4;EMAIL;compressing Unbranded Wooden Salad;2020-11-02T04:11:52;UNSEEN
5;EMAIL;Borders;2020-11-02T14:26:02;UNSEEN
6;EMAIL;Berkshire auxiliary Ameliorated;2020-11-02T04:51:57;SEEN
7;EMAIL;Skyway Licensed Metal Table;2020-11-02T08:50:21;UNSEEN
8;EMAIL;Chief Money Market Account;2020-11-02T03:23:48;SEEN
9;APP;Granite;2020-11-02T06:59:04;SEEN
10;APP;Utah Chips Avon;2020-11-02T03:41:24;SEEN
